type,commentsCount,url,videoViewCount,likesCount,firstComment,videoPlayCount,caption,mentions,tagged_users,latestComments,hashtags
Image,107,https://www.instagram.com/p/DALzxodNv0n/,0,909,"Currently the person is singing “fix you” !! @bookmyshowin thank you for breaking so many hearts and dreams in a span of 30 minutes. @coldplay only you can mend this - please please please do more shows in India, we have waited for so long ♥️",0,"Mention that person who makes your life feel like a Coldplay song🥰✨[ New Movie Release, Kahan Shuru Kahan Khatam, BookMyShow, Coldplay, Songs ]",no mentions,[],"['Currently the person is singing “fix you” !! @bookmyshowin thank you for breaking so many hearts and dreams in a span of 30 minutes. @coldplay only you can mend this - please please please do more shows in India, we have waited for so long ♥️', 'Very bad management for Coldplay tickets booking. How can you let @viagogo and other scaplers to get more tickets than the fans?!!! @bookmyshowin you need to be responsible.', '☎️', 'Mfs', 'Edge to mat karo bhai', 'Book My Show is the “friend” that my mom warns me about', 'You fucked up.', '@emraan_hashmi0927 ki movie bhi  re-released karwa do tab hoga house full show on public demand 🙌', 'Im selling 4 tickets for lounge in exchange of level 2 tickets row b or O dm me for more info']",[]
Video,69,https://www.instagram.com/p/C_7ZYuaIWzO/,35234,765,@bookmyshowin  full of corrupt people,112669,"When I go missing, HOME is where you’ll find me 🏠🥳[ Bandland, Concert, BookMyShow, Plans, Music Festival ]",no mentions,"['bookmyshowin', 'bandland.in']","['@bookmyshowin  full of corrupt people', ""Max two tickets should have been done and entry for the one's booking it"", 'Pathetic management of the Coldplay concert tickets ... u ruined it for the die hard fans 👎👎', '#boycottbookmyshow', 'People used ‘inspect element’ trick to get the buy url before it was available to the general public and that’s how they were ahead of us.', 'Gonna go old school and book tickets at the venue itself', '@bookmyshowin just shut it down 🤬🤬🤬']",[]
Image,121,https://www.instagram.com/p/DAQytzlSMYh/,0,8694,Waitin’ ❤️ for ya @alanwalkermusic,0,"THE WALKER EFFECT! 🤩Alan Walker's Sunburn Arena tour captivates India! ❤️100,000+ tickets sold across 10 cities!Experience the magic! Book your tickets now if you still haven’t! #Kolkata SOLD OUT 🫶🏻#SunburnArena",no mentions,"['alanwalkermusic', 'hyundaiindia', 'reliance_digital', 'jackjonesindia', 'bookmyshowin', 'wilddrumofficial', 'epiccondoms']","['Waitin’ ❤️ for ya @alanwalkermusic', 'Do let me know if anyone has pass available in low rates ?', 'See you soon in mmrda mumbai 🤧', 'dhakkamukki krna jaake ab woha', 'In kochi only few left', 'Anyone for Ahmedabad!!', '@miravi_277 yes']","['Kolkata', 'SunburnArena']"
Video,33,https://www.instagram.com/p/DAQnuZAy3Yn/,9145,342,FKNNN SCAM SITE,40438,"Peppa Pig’s Adventure Premiere Show was a blast! 🐷✨ If you missed the fun, don’t worry—it’s just the beginning! Get ready for more excitement ahead! 🎉💖[ Peppa Pig, Peppa Pigs Adventure, Peppa Pig In India, Family Fun, Theatrical, Kotak White Experience]",no mentions,"['bookmyshowin', 'kotakbankltd']","['FKNNN SCAM SITE', 'Coldplay anyone!? Got some extra tickets', 'Report this fucking site', 'BMS walo laaj lajja sharam kitne me bhechi? Jara humko bhi batao #BMSkiMKC', 'MF acting like nothing happened @bookmyshowin you are the example of\nUNACCOUNTABILITY & IRRESPONSIBILITY\nclowns 🤡']",[]
Sidecar,818,https://www.instagram.com/p/DARY9V9Rf4l/,0,7759,You don't have the right to speak on this anymore. Shut the fk up.,0,⚠️ OFFICIAL STATEMENT REGARDING RESALE OF #MOTSWT TICKETS,no mentions,['bookmyshow.live'],"[""You don't have the right to speak on this anymore. Shut the fk up."", 'Please share the details of what happened during the booking process. \n\nIf you cant book a ticket in an open market thats fair.\n\nCan you assure that bots didn’t create the issue?\n\nIf scalping/reselling is illegal. How will you ensure that those attending have not sourced tickets from such people. \n\nSome clarity would be great, since there only seems to be disappointment.', ""Happy that there is a widespread outrage against BMS now. Faced the same issue while trying to get tickets for the cricket world cup. Too many tickets given away to vips and influencers who don't care about the game. This scam has to stop. You don't have to be in the elite class to watch a concert or a sport."", 'Chal juttha !', 'Biggest data collection and data selling scam', '@bookmyshowin Associate some id proof with the booking and that person who buy the ticket has to attend or else cancel that 4 tickets…', 'Could have made the tickets non transferable. Simple.', 'BMS team, you did as pathetic a job that you guys can. You have turned this into money minting game and are not interested apart from making your own fortunes. It’s a sad and shameful story that you guys have portrayed your servers went down, fans did not got ticket, people who have connects have got tickets I guess you should have not opened it for general public in that case', '@coldplay see how pathetic this official ticket partnership for Mumbai is!']",['MOTSWT']
Video,500,https://www.instagram.com/p/DALU906IeF1/,480258,45861,bndd kro..mai hath jodra to bnd kro hmari gaand jalana. nahi mili hme ticket bhai🙏🥲,1203513,"Get to know your seats better 💛 Make that plan and set your alarms for 22 September, 12 PM IST to book those tickets.For more updates, follow us!#MOTSWT #BookMyShowLive #BookMyShow #Coldplay #Coldplay2025 #Tickets #Concert #MusicOfTheSpheresWorldTour #Mumbai #Friends #Plans",no mentions,"['bookmyshowin', 'dypatilstadium']","['bndd kro..mai hath jodra to bnd kro hmari gaand jalana. nahi mili hme ticket bhai🙏🥲', 'Book my show mch h', 'chup bey', 'kya karu ye jaanke? sab resellers ne toh ticket leli, aur jisko chaiye unko milli hi nahi', 'Level sabke niklege']","['MOTSWT', 'BookMyShowLive', 'BookMyShow', 'Coldplay', 'Coldplay2025', 'Tickets', 'Concert', 'MusicOfTheSpheresWorldTour', 'Mumbai', 'Friends', 'Plans']"
Sidecar,965,https://www.instagram.com/p/DALJ_2byoTg/,0,29021,I got tickets 😁,0,"🚨 Here’s our guide to ease your ticket booking experience for the Coldplay Music Of The Spheres World Tour 2025 India ✨#MOTSWT #BookMyShowLive #BookMyShow #Coldplay #Coldplay2025 #Mumbai #Tickets #MusicOfTheSpheresWorldTour #Concert #Friends #Plans",no mentions,"['coldplay', 'bookmyshowin']","['I got tickets 😁', 'Got 4 extra tickets😍', '@maanas_baggu101 bhai looks like they were listening to you 😂😂']","['MOTSWT', 'BookMyShowLive', 'BookMyShow', 'Coldplay', 'Coldplay2025', 'Mumbai', 'Tickets', 'MusicOfTheSpheresWorldTour', 'Concert', 'Friends', 'Plans']"
Image,5561,https://www.instagram.com/p/DANjzQAoFH_/,0,23035,"You guys are just Morden day frauds @bookmyshowin !! This has been going for very long I’m glad that you guys are getting exposed, whenever I tried booking tickets through you guys weather it be IPL , CWC23  or coldplay tickets i don’t even know how I ended up being in queue after more than 2L people on all of my 4 devices 🤣! You guys can’t even handle a huge crowd on your site , which causes it to crash whenever the footfall is heavy! I mean Diljit tickets were also sold out fast but at least we were able to buy it because it was not on your shitty site ! Such a disgrace, you guys just mercilessly killed thousands of dreams within hours ! I wish coldplay cancels the tour and you guys get tired of refunding people! Amen",0,🚨A NEW SHOW HAS BEEN ADDED FOR 21 JAN 2025!! 1. Head on to the event page on #BookMyShow and hit the ‘Book Now’ button at 1:30 PM IST 2. You will be added to the waiting room3. You will be assigned a queue number at 2 PM IST4. Ticket sales go live at 2 PM IST sharp #MOTSWT #BookMyShowLive #BookMyShow #Coldplay #Coldplay2025 #Tickets #Concert #MusicOfTheSpheresWorldTour #Mumbai #Friends #Plans,no mentions,['bookmyshowin'],"['You guys are just Morden day frauds @bookmyshowin !! This has been going for very long I’m glad that you guys are getting exposed, whenever I tried booking tickets through you guys weather it be IPL , CWC23  or coldplay tickets i don’t even know how I ended up being in queue after more than 2L people on all of my 4 devices 🤣! You guys can’t even handle a huge crowd on your site , which causes it to crash whenever the footfall is heavy! I mean Diljit tickets were also sold out fast but at least we were able to buy it because it was not on your shitty site ! Such a disgrace, you guys just mercilessly killed thousands of dreams within hours ! I wish coldplay cancels the tour and you guys get tired of refunding people! Amen', '""Bhai 500 zyada lele lekin ticket dila de bhai"" -vipul shahu', 'Next time infinity tickets me jo logo ko mil gaya usko mat dijiye taki jinlogo ko nhi mila usko mil sake', 'Can someone please sue book my show for the unfair and shit ticket booking system PLS \nMost of the tickets sold are being sold in black. Please tell me how that’s fair @bookmyshowin @bookmyshow.live', 'Badua lagegi madarchodo tumhe', '@simrowh I wish the same🥲']","['BookMyShow', 'MOTSWT', 'BookMyShowLive', 'Coldplay', 'Coldplay2025', 'Tickets', 'Concert', 'MusicOfTheSpheresWorldTour', 'Mumbai', 'Friends', 'Plans']"
Video,176,https://www.instagram.com/p/DAJP4yRsiUa/,120008,23618,Yea yea. Keep influencing us to shower hatred on your privileged ass.,538259,tag someone you wany to sing “yellow” with 🧸tickets for Coldplay’s Music Of Spheres World Tour 2025 (MUMBAI EDITION) are  going live on 22nd September on BookMyShow and you don’t wanna miss out…. Go grab them right now and let’s fix ourselves while screaming to “fix you” 😌 #MOTSWT #BookMyShowLive #BookMyShow,no mentions,"['bookmyshowin', 'bookmyshow.live']","['Yea yea. Keep influencing us to shower hatred on your privileged ass.', 'Ban BMS if you see these people getting coldplay tickets for free..while people are actually falling prey to scammers', '@kurrykatara', 'Scammers', 'Only @bookmyshowin can fix me now', 'Didi ticket milli kii nahi?', 'Tickets available']","['MOTSWT', 'BookMyShowLive', 'BookMyShow']"
Image,4034,https://www.instagram.com/p/DANwlKfztjR/,0,19055,Don’t you think you should’ve posted this before the tickets went live and prevent bots entering and booking tickets in the first place,0,"Protect Yourself from Ticket Scams!Don’t fall prey to unauthorized platforms selling fake tickets for Coldplay’s Music Of The Spheres World Tour 2025 in India!#MOTSWT #BookMyShowLive #BookMyShow #Coldplay #Coldplay2025 #MusicOfTheSpheresWorldTour2025 #Mumbai #Tickets #Concert #Scams",no mentions,['bookmyshow.live'],"['Don’t you think you should’ve posted this before the tickets went live and prevent bots entering and booking tickets in the first place', 'wo 10 mins ye log apni book kr rhe the .', ""Gonna start an influencer page incase my fav artists come to India and I could bag a few free tickets from BMS like what y'all did to influencers 🙏 guess that's my only hope in this rigged system LMFAO FIX YA SHIT"", 'Tickets avail !!!', 'You protect yourself first', 'If hating you was a sport, I’d be a gold medalist.', 'Tumse kuch na ho payga🙏', 'Ab to sach bolde']","['MOTSWT', 'BookMyShowLive', 'BookMyShow', 'Coldplay', 'Coldplay2025', 'MusicOfTheSpheresWorldTour2025', 'Mumbai', 'Tickets', 'Concert', 'Scams']"
